Year,megawatts
2019,360.1
2018,360.8
2017,349.1
2016,320.2
2015,294.3
2014,231.1
2013,200.6
2012,107.2
2011,58.5
2010,8.6
2009,1.1
2008,1.1
2007,1.0
2006,0.0
2005,0.0
2004,0.0
2003,0.0
2002,0.0
2001,0.0
