Year,megawatts
2019,79785.9
2018,79720.2
2017,79585.1
2016,79556.2
2015,79385.5
2014,79376.6
2013,78521.7
2012,78073.7
2011,77721.4
2010,78101.3
2009,78159.3
2008,77574.5
2007,77523.3
2006,77363.87
2005,77112.83
2004,77196.86
2003,77901.2
2002,78297.34
2001,77844.57
