Year,Quadrillion Btu
2019,11.6635636
2018,11.383109868
2017,11.016044718
2016,10.256479683
2015,9.613234493
2014,9.721107937
2013,9.4406907029
2012,8.8202414495
2011,9.1193277375
2010,8.1639624209
2009,7.6027617226
2008,7.1730500097
2007,6.5296928291
2006,6.6408129213
2005,6.2358780288
2004,6.076220079
2003,5.9474527138
2002,5.8678743239
2001,5.3065089663
