Year,megawatts
2019,104974.5
2018,94578.3
2017,87488.4
2016,81198.0
2015,72486.3
2014,64155.6
2013,59922.5
2012,59036.3
2011,45647.0
2010,39121.4
2009,34294.6
2008,24651.3
2007,16515.1
2006,11350.75
2005,8719.17
2004,6463.7
2003,6001.79
2002,4416.64
2001,3893.64
