Year,megawatts
2019,38428.2
2018,32097.8
2017,26432.1
2016,21630.6
2015,13374.2
2014,10092.2
2013,6421.9
2012,3062.9
2011,1465.0
2010,857.8
2009,617.4
2008,534.5
2007,500.5
2006,411.1
2005,411.1
2004,398.1
2003,397.3
2002,396.9
2001,391.6
