Year,Quadrillion Btu
2019,2.4437082
2018,2.4855354563
2017,2.4977739371
2016,2.482989222
2015,2.4772565843
2014,2.4728050331
2013,2.4404004767
2012,2.3754135139
2011,2.39645879
2010,2.3407895747
2009,1.9707115713
2008,2.0338091936
2007,1.964754697
2006,1.9298251387
2005,1.8731721828
2004,1.8528990746
2003,1.7250114367
2002,1.7196728043
2001,1.7186843897
