Year,megawatts
2019,363.6
2018,363.6
2017,357.1
2016,356.7
2015,300.7
2014,300.7
2013,678.3
2012,664.3
2011,930.2
2010,723.4
2009,358.4
2008,355.7
2007,352.7
2006,720.23
2005,688.42
2004,689.65
2003,827.74
2002,1054.35
2001,1063.03
