Year,megawatts
2019,2544.5
2018,2501.6
2017,2485.6
2016,2516.6
2015,2541.5
2014,2514.3
2013,2607.0
2012,2592.1
2011,2409.2
2010,2404.6
2009,2381.9
2008,2228.8
2007,2214.2
2006,2294.78
2005,2297.1
2004,2163.88
2003,2135.25
2002,2254.25
2001,2217.01
